noun.person | (voter, nsubj)  | noun.cognition | (choice, obj) | opponents generally argued that the ballot couldn't give enough information about tax proposals for the voters to make an intelligent choice 
noun.entity | (it, nsubj)  | noun.cognition | (sense, obj) | `` it makes sense 
noun.person | (redcoat, nsubj)  | noun.attribute | (advantage, obj) | if we cluster together , the redcoats can make an advantage out of it , but there's not a blessed thing they can do with two or three of us except chase us , and we can outrun them '' 
noun.person | (hand, nsubj)  | noun.act | (caressing, obj) | adam watched his own hands make the caressing , anxious movement that , when rain falls and nobody comes , and ruin draws close like a cat rubbing against the ankles , has been the ritual of stall vendors , forever 
noun.person | (he, nsubj)  | noun.act | (gesture, obj) | he wondered what expression , as he made that gesture , was on his face 
noun.person | (he, nsubj)  | noun.cognition | (shape, obj) | one of the drawing-room shutters was partly open and he made out the shapes of chairs and sofas , which seemed to be upholstered in brown or russet velvet 
noun.person | (you, nsubj)  | noun.cognition | (report, obj) | i told him you are on orders from the home army to get inside majdanek so you can make a report to the government in exile in london '' 
noun.person | (he, nsubj)  | noun.event | (decision, obj) | it was only natural that fletcher would strive for a position in which he could make the decisions 
noun.person | (oyabun, nsubj)  | noun.artifact | (trip, obj) | for the oyabun to make such a trip was either a sign of great weakness or an indication of equally great confidence , and from all the available information it was probably the latter 
noun.person | (i, nsubj)  | noun.quantity | (love, obj) | `` tomorrow will be a new experience -- i have never before made love to a nightingale 
noun.person | (you, nsubj)  | noun.quantity | (worth, obj) | `` you have made the labor worth while '' , he said to her , smiling 
noun.person | (man, nsubj)  | noun.entity | (it, obj) | would the man make it or not ? ?
noun.entity | (what, obj)  | noun.person | (you, nsubj) | i would not want to be one of those writers who begin each morning by exclaiming , `` o gogol , o chekhov , o thackeray and dickens , what would you have made of a bomb shelter ornamented with four plaster-of-paris ducks , a birdbath , and three composition gnomes with long beards and red mobcaps '' ? ?
noun.person | (she, nsubj)  | noun.person | (friend, obj) | she had made no friends 
noun.communication | (remark, nsubj)  | noun.person | (she, nsubj) | the remarks she made about the sufferings of a lonely woman seemed so broad at first that he didn't know what to make of them , but after the sixth drink he put his arm around her and suggested that they go upstairs and look for her checkbook there 
noun.person | (you, nsubj)  | noun.communication | (arrangement, obj) | i should be obliged if you could make other arrangements for your daughters 
noun.act | (pool, nsubj)  | noun.act | (move, obj) | i didn't want to touch him and i hoped ma would do it but she kept looking at the kid's clothes piled on the floor and the pool of water by them and didn't make any move to 
noun.person | (she, nsubj)  | noun.artifact | (curtain, obj) | she had made curtains for all the windows of her little house , and she had kept it spotless and neat , shabby as it was , and cooked good meals for bobby joe 
noun.group | (woman, nsubj)  | noun.artifact | (water, obj) | the dust clogged their throats , and the heat parched them , so that the women were always making ice water 
noun.artifact | (guest, nsubj)  | noun.act | (inquiry, obj) | all the women got up and offered their chairs , and when they were all seated again , the guests made their inquiries and their explanations 
noun.person | (she, nsubj)  | adj.all | (tall, obj) | carrying it to the living room , she imagined the picture she made : tall and roundly slim , a bit sophisticated in her yellow sheath , with a graceful swingy walk that she had learned as a twirler with the school band 
noun.person | (they, nsubj)  | noun.possession | (way, obj) | the purchase was effected and they made their way towards the hotel again , the hen , with whom some sort of communication had been set up , nestling in the doctor's arms 
noun.person | (i, nsubj)  | noun.act | (inquiry, obj) | i made inquiries , i read a book of etiquette 
noun.entity | (it, nsubj)  | noun.communication | (difference, obj) | `` would it make any difference to you if i were , mary jane '' ? ?
noun.person | (i, nsubj)  | noun.person | (mind, obj) | `` i haven't made up my mind yet '' , i said 
noun.person | (i, nsubj)  | noun.entity | (it, obj) | by the time i'd made it he was gone 
noun.person | (i, nsubj)  | noun.event | (time, obj) | i made time and picked him up within ten blocks 
noun.person | (i, nsubj)  | noun.artifact | (circle, obj) | i made a big circle until i located the car parked at the curb in front of an apartment house 
noun.person | (she, nsubj)  | noun.act | (attempt, obj) | her teeth chattered so that she made three attempts at speech before she became intelligible 
noun.person | (i, nsubj)  | noun.communication | (contact, obj) | maybe with specific orders to see that i don't make contact with her 
noun.person | (he, nsubj)  | noun.person | (himself, obj) | he made himself back off slowly , his eyes wary on roberts , who now had no more to lose than he 
noun.person | (he, nsubj)  | noun.possession | (way, obj) | he made his way back to the jeep 
noun.person | (he, nsubj)  | noun.food | (coffee, obj) | he made fresh coffee and searched through all the desk drawers for more cigarettes before thinking of her handbag , and found a crumpled stray cigarette at its bottom , which tasted peculiarly of face powder 
noun.person | (they, nsubj)  | noun.cognition | (sense, obj) | they made sense and yet they didn't 
noun.person | (they, obj)  | adv.all | (enough, obj) | the figures on the worksheet paper in front of her were jumping and waving around so badly it was all she could do to make them out clearly enough to copy them with the typewriter 
noun.person | (stanley, nsubj)  | noun.communication | (announcement, obj) | and then , unexpectedly , stanley made his announcement 
verb.social | (see, nsubj)  | adj.all | (much, obj) | seeing the man he blamed for this made much of -- youth and bitterness and --
noun.entity | (it, nsubj)  | noun.animal | (herring, obj) | and it makes a very poor red herring for an inside job 
noun.person | (he, nsubj)  | noun.possession | (note, obj) | nevertheless , he made a mental note to look into garth's financial background 
noun.person | (he, nsubj)  | noun.possession | (way, obj) | his rage had built up as he made his way here from the second floor , helped by the quantity of champagne he had consumed 
noun.artifact | (muller, nsubj)  | noun.possession | (deduction, obj) | had muller made the same deduction ? ?
noun.artifact | (body, nsubj)  | noun.communication | (contact, obj) | he was dead before his body made contact with the floor 
noun.person | (he, nsubj)  | noun.artifact | (point, obj) | he made a point of frowning , of acting out the part of the fond father-confessor 
noun.person | (she, nsubj)  | noun.location | (face, obj) | she made a face at him and then she laughed 
noun.person | (he, nsubj)  | noun.act | (mistake, obj) | so he made a mistake 
noun.person | (we, nsubj)  | noun.entity | (it, obj) | we made it back to the harbor in less than four minutes 
noun.person | (man, nsubj)  | noun.communication | (reply, obj) | the man made no reply 
adj.all | (many, nsubj)  | noun.artifact | (furniture, obj) | there are a lot of scandinavians in this neck of the woods , and many still make painted furniture and take steam-baths 
noun.artifact | (eye, nsubj)  | noun.person | (he, obj) | now he recalled it very clearly , and wondered what the truck driver had seen in those eyes to make him back off 
noun.person | (he, nsubj)  | noun.possession | (money, obj) | but he decided he wouldn't mind company in return for free drinks , even though he made good money at his job 
noun.person | (he, nsubj)  | noun.artifact | (ring, obj) | toward the end of his fourth hairy highball , while he was moodily making wet rings on the table-top with the bottom of the glass , he became aware that he was not alone 
noun.person | (he, nsubj)  | noun.act | (mistake, obj) | he made the mistake of answering in an offhand way , and instantly realized that his skepticism must have showed in his face or voice 
noun.entity | (it, nsubj)  | noun.cognition | (sense, obj) | it made sense 
noun.person | (we, nsubj)  | noun.food | (date, obj) | we made the date for two o'clock in the afternoon at maxine wells's pad 
noun.communication | (part, nsubj)  | noun.communication | (treaty, obj) | and the major part of my mission to your nest is to make a treaty between your race and mine 
noun.person | (he, nsubj)  | noun.cognition | (sense, obj) | for a moment he could make no sense at all of what he saw 
noun.entity | (it, nsubj)  | noun.attribute | (speed, obj) | if that was the skiff , it was making unprecedented speed 
noun.person | (he, nsubj)  | noun.event | (turn, obj) | but not having talked to the angels , he had made a wrong turn in his reasoning somewhere along the line 
noun.person | (earthman, nsubj)  | noun.group | (camp, obj) | the earthmen made camp outside the spaceship 
noun.act | (flight, nsubj)  | noun.act | (flight, obj) | her first actual flight , for she and her kind had made mock flights on dummy panels since she was eight , showed her complete mastery of the techniques of her profession 
noun.person | (mercer, nsubj)  | noun.cognition | (sense, obj) | she found this immensely comforting , even though mercer did not make much sense out of it 
noun.person | (they, nsubj)  | noun.artifact | (plan, obj) | though they saw the old-style chemical rockets lift up from the field beyond b'dikkat's cabin , they did not make plans to hide among the frozen crop of transmuted flesh 
noun.person | (man, nsubj)  | noun.communication | (mark, obj) | a man could make a mark there 
noun.person | (i, nsubj)  | noun.person | (you, obj) | `` i made you what you are '' , gavin whispered 
noun.person | (i, nsubj)  | noun.person | (you, obj) | `` i made you so you could stand up 
noun.artifact | (mike, nsubj)  | noun.communication | (dash, obj) | mike made a dash to the rear of the frame buildings 
noun.person | (he, nsubj)  | noun.person | (mind, obj) | a man was standing in the open door of the lighted orderly room a few yards to mike's left , but he , too , suddenly made up his mind and went racing to join the confused activity at the east end of the stockade 
noun.event | (whinny, nsubj)  | noun.act | (crawl, obj) | coyotes and hunting wolves sounded like signaling indian scouts , the whinny of a restless pony made one's skin crawl 
noun.person | (aricara, nsubj)  | noun.act | (charge, obj) | the aricaras made one last desperate charge 
noun.animal | (mount, nsubj)  | noun.act | (charge, obj) | some gracefully soared from the backs of their wounded , screaming mounts to make one last defiant charge before the lead split their hearts or tore their guts 
noun.entity | (it, nsubj)  | noun.communication | (difference, obj) | and it doesn't make any difference 
noun.entity | (it, nsubj)  | noun.cognition | (wonder, obj) | it made wilson wonder 
noun.person | (he, nsubj)  | noun.communication | (show, obj) | he made a show of rearranging my forms on the shelf 
noun.cognition | (thought, nsubj)  | noun.act | (shudder, obj) | the thought made pamela shudder 
noun.act | (office, nsubj)  | noun.person | (issue, obj) | moreover , as long as the weapon was carried openly , the sheriff's office had made no previous issue of it 
noun.person | (who, nsubj)  | noun.state | (job, obj) | lewis was a man who had made a full-time job of cow stealing 
noun.person | (lewis, nsubj)  | noun.time | (round, obj) | william lewis made the rounds of all who lived near him again , that august morning after a bullet landed at his feet , and once more he accused and threatened everyone 
noun.person | (minstrel, nsubj)  | noun.possession | (song, obj) | the wailing , guitar-strumming minstrels of the cattle kingdom made up songs about him 
noun.entity | (it, nsubj)  | noun.communication | (difference, obj) | maybe if the marshal hears this himself , it'll make a difference 
noun.body | (burnside, nsubj)  | noun.event | (bend, obj) | slipping her hand in his , they silently watched the burnsides make the bend in the road and disappear from sight 
noun.cognition | (one, nsubj)  | noun.event | (break, obj) | but even a reunion as joyous as this one did not make a break in the routines of the day 
noun.person | (they, nsubj)  | noun.artifact | (circle, obj) | nor could they stop and find out about all that had happened until they made circle , tended the cattle , tethered the horses , gathered fuel , carried water , and started their cooking fires 
noun.person | (he, nsubj)  | noun.quantity | (word, obj) | he heard cries from behind him , but he could make out no words 
noun.group | (room, nsubj)  | noun.act | (run, obj) | there was not enough room to make the usual vertical bomb run 
noun.person | (he, nsubj)  | noun.communication | (check, obj) | he was about to make a gas check on his flight when todman's voice broke in : `` sweeneys ! !
noun.person | ('s, nsubj)  | adj.all | (first, obj) | let's make sure first '' 
noun.entity | (it, nsubj)  | noun.communication | (difference, obj) | i said that it didn't make any difference to me either , as far as i knew 
noun.person | (you, nsubj)  | noun.possession | (living, obj) | too many people think that the primary purpose of a higher education is to help you make a living ; ;
noun.person | (i, nsubj)  | noun.act | (pass, obj) | `` tell him i made a pass at you '' 
noun.person | (you, nsubj)  | noun.act | (pass, obj) | `` by telling him you are making passes at me '' ? ?
noun.person | (i, nsubj)  | noun.act | (pass, obj) | if you tell him i made a pass at you he might think you misunderstood something i said or did , so instead of just telling him i made a pass , say i tried to date you and that you agreed so you could prove to him what a louse i really am 
noun.person | (i, nsubj)  | noun.act | (pass, obj) | if you tell him i made a pass at you he might think you misunderstood something i said or did , so instead of just telling him i made a pass , say i tried to date you and that you agreed so you could prove to him what a louse i really am 
noun.person | (we, nsubj)  | noun.group | (rendezvous, obj) | we made a rendezvous tomorrow evening at nine on some street near lake ponchartrain 
noun.person | (you, nsubj)  | noun.time | (life, obj) | they thought it would be a chance for you to make a life out where nobody will be thought any better than the next except for just what's inside of them 
noun.person | (he, nsubj)  | noun.object | (sound, obj) | he made a sound of despair deep in his throat 
noun.entity | (it, nsubj)  | noun.communication | (impression, obj) | i clapped the big man with the bleached hair on his shoulder and said heartily , hoping it would make an impression on the women : `` this one is the maku frayne 
noun.person | (who, nsubj)  | noun.act | (magic, obj) | he speaks your language too , for he is the grandson of a chieftain on taui who made much magic and was strong and cunning 
noun.entity | (it, nsubj)  | noun.state | (bump, obj) | it made only a tiny bump over the two men like a tire over a piece of gravel then moved on 
noun.person | (he, nsubj)  | noun.person | (dive, obj) | `` why '' , he went on , `` when rob asked me if he could make his dive on this trip , i didn't think twice about it 
noun.person | (he, nsubj)  | noun.person | (mind, obj) | `` well , let's let him make up his own mind , ok '' ? ?
noun.person | (i, nsubj)  | noun.person | (dive, obj) | and when i make the dive again '' -- he paused ; ;
noun.act | (fatigue, nsubj)  | noun.attribute | (streak, obj) | his fatigues made a streak of almost phosphorescent green in the mist 
noun.person | (he, nsubj)  | noun.event | (rush, obj) | rifle leveled on the man , he made a rush 
noun.person | (we, nsubj)  | noun.entity | (it, obj) | `` we made it , cappy '' , the chick said 
noun.plant | (feathertop, nsubj)  | noun.event | (motion, obj) | feathertop made an elaborate motion with his hand 
noun.entity | (it, nsubj)  | noun.communication | (speech, obj) | `` it's not for making pretty speeches about dante those actresses get paid so good '' 
noun.person | (he, nsubj)  | noun.communication | (pact, obj) | it was as though he had made a pact with the devil himself , but it was not yet time to pay the price 
noun.communication | (clapping, nsubj)  | noun.person | (they, nsubj) | the clapping they made on the concrete interrupted him in the ecstatic pleasure he knew , so that he quickly released his hold on the goat and pretended to be examining its haunches for ticks 
noun.person | ('s, nsubj)  | noun.attribute | (list, obj) | let's make a list of your assets '' 
noun.communication | (bible, nsubj)  | noun.location | (lot, obj) | those bibles and prayer books make a lot of money for publishing houses , but they don't get top personnel 
verb.perception | (glisten, nsubj)  | noun.artifact | (spangle, obj) | the glisten of the truckee river made a wide spangle 
noun.cognition | (research, nsubj)  | noun.entity | (it, obj) | i said , `` mr mckenzie , it is as authentic as careful research can make it '' 
noun.person | (who, nsubj)  | noun.possession | (money, obj) | we all painted in our spare time , and we had all started as easel painters with scholarships , but he was the only one of us who made any regular money at it 
noun.person | (he, nsubj)  | noun.artifact | (circle, obj) | he made a circle with his thumb and fingers 
noun.person | (i, nsubj)  | noun.artifact | (habit, obj) | i had made a habit of calling her at night from my cottage , just to check 
noun.person | (you, nsubj)  | noun.person | (friend, obj) | `` did you make friends easily '' ? ?
noun.person | (i, nsubj)  | noun.communication | (story, obj) | would you be happier if i made up some stories about my life , told you some lies ? ?
adj.all | (each, nsubj)  | noun.feeling | (indignation, obj) | the other women had come close now , their voices murmuring together until they stood buzzing in an angry knot , their threats mingling , rising , nagging at each other , each trying to make her indignation and anger felt 
noun.artifact | (pack, nsubj)  | noun.communication | (noise, obj) | `` a pack of dogs makes less noise '' ! !
noun.substance | (sand, nsubj)  | adj.all | (pronounced, obj) | the swirling sand made quint's limp more pronounced 
noun.entity | (it, nsubj)  | noun.plant | (blister, obj) | it made her blister 
noun.person | (she, nsubj)  | noun.communication | (picture, obj) | she made better pictures than any book he'd read , but he didn't say so 
noun.person | (i, nsubj)  | noun.entity | (it, obj) | `` i can't make it in ten minutes '' -- wondering , as i said it , why i should make it at all 
noun.person | (i, nsubj)  | noun.entity | (it, obj) | `` i can't make it in ten minutes '' -- wondering , as i said it , why i should make it at all 
noun.person | (i, nsubj)  | noun.act | (mistake, obj) | i made the mistake of going to the jour et nuit 
noun.cognition | (possibility, nsubj)  | noun.communication | (arrangement, obj) | the other possibility is to make arrangements for her to let out one or two of the rooms to some teacher of good family or one of those solitary old ladies that tuxapoka is populated with -- miss edna whittaker , for example 
noun.attribute | (rain, nsubj)  | noun.substance | (puddle, obj) | meanwhile , he had this miserable cold , and as he leaned against the refrigerator , watching the rain make sandy puddles at his feet , the doctor's prescription for lots of sun seemed like a hollow mockery 
noun.person | (he, nsubj)  | noun.group | (team, obj) | no , cady , he made second team 
noun.artifact | (segment, nsubj)  | noun.communication | (noise, obj) | or against her back , pressed on the column of vertebrae , which held her so magnificently straight and unyielding , until the segments of bone made tiny sharp cracking noises , like the snapped stem of a tulip 
noun.person | (they, nsubj)  | noun.state | (marriage, obj) | he saw later that they had made their marriage too quickly 
noun.person | (he, nsubj)  | noun.possession | (way, obj) | he made his way to his host's bedroom where he carefully brushed himself off , neatly arranged his hair , and painstakingly selected his hat from the many on the bed 
noun.person | (he, nsubj)  | noun.possession | (way, obj) | then , noting neither the absence of his footwear nor the presence of the rosebuds , he made his way to the byzantine room and , with his usual dignity , mounted the rostrum 
noun.person | (i, nsubj)  | noun.artifact | (plan, obj) | i made plans for the afternoon -- doing the breakfast and luncheon dishes all at once , making the beds , and then maybe painting the kitchen 
noun.person | (who, nsubj)  | adj.all | (bold, obj) | but what quarter could a poor defenseless woman expect from a dictator who would even make so bold as to close all of the banks in our great nation ? ?
noun.person | (he, nsubj)  | noun.act | (attempt, obj) | never a `` quick study '' , he now made no attempt to learn his `` lines '' and many a mile of film was wasted , many a scene -- sometimes involving as many as a thousand fellow thespians -- was taken thirty , forty , fifty times because miss poitrine's co-star and `` helpmate '' had never learned his part 
noun.person | (i, nsubj)  | noun.communication | (film, obj) | between 1935 and 1939 letch and i made ten films together , each less successful , both artistically and commercially , than the one before it 
noun.person | (he, nsubj)  | noun.communication | (remark, obj) | he made many tasteless , irreverent and unfunny remarks , not only about me in the title role , but about religion in general 
noun.event | (hurt, nsubj)  | noun.communication | (difference, obj) | her reply stung me , but this was too important to let my hurt make any difference 
noun.entity | (it, nsubj)  | noun.communication | (difference, obj) | regardless of how much of a slob you knew yourself to be , you could be certain they would never find out -- and even if they did it would make no difference 
noun.person | (he, nsubj)  | noun.act | (fuss, obj) | he had made such a fuss about buying that second car that he knew he was vulnerable 
noun.group | (woman, nsubj)  | noun.communication | (call, obj) | an excited woman was making an emergency call over the phone : `` doctor , please come over right away 
noun.communication | (statement, nsubj)  | noun.entity | (it, nsubj) | although the play does show a certain structural amateurishness ( there are eleven acts varying in length from twenty-five seconds to an hour and a half ) , the statement it makes concerning the ceaseless yearning and searching of youth is profound and worthy of our attention 
noun.person | (you, nsubj)  | noun.artifact | (hobby, obj) | what you were looking for ( unless you make a hobby of collecting old tennis rackets and fly screens ) eludes me , but to judge from phonograph records scattered about a fumed-oak victrola 
noun.attribute | (merit, obj)  | noun.person | (wife, obj) | in it was a stone tibetan buddha i had picked up in bombay , and occasionally , to make merit , my wife and i garlanded it with flowers or laid a few pennies in its lap 
noun.person | (he, nsubj)  | noun.act | (practice, obj) | i learned , for example , that he made a practice of yapping at dogs he encountered and , in winter , of sprinkling salt on the icy pavement to scarify their feet 
